bus_id,v_pu,v_angle_deg,p_load_mw,q_load_mvar,base_kv
1,1.05,0,0,0,12.67
2,1.04721135210755,0.100416818695022,0.2,0.12,12.67
3,1.03861735003453,0.669091744836558,0.18,0.08,12.67
4,1.03409584785701,0.703402238007657,0.24,0.06,12.67
5,1.03,0.747528536122821,0.14,0.06,12.67
6,1,1.81455044646374,0.2,0.1,12.67
7,1.03,1.18682327385173,0.2,0.1,12.67
12,0.998518250222381,4.63816225296573,0.12,0.07,12.67
13,0.997289979289559,4.58686825200206,0.06,0.02,12.67
14,0.997120806901078,4.56601527440161,0.4,0.2,12.67
15,0.999050418774305,4.58264201066591,0.26,0.11,12.67
19,1.04512885588053,0.0502257182592749,0.18,0.08,12.67
20,1.0285591763887,-0.331806939103976,0.18,0.08,12.67
23,1.03572555165946,1.17658088021516,0.18,0.1,12.67
24,1.03,2.23341968453862,0.12,0.06,12.67
25,1.02373659995556,3.12892158339916,0.3,0.1,12.67
29,1.02,3.69524376303876,0.09,0.04,12.67
30,1.01665551395298,4.01668463550101,0.1,0.06,12.67
31,1.0058515344465,4.63749790922749,0.17,0.05,12.67
32,1.00338772976232,4.86891148524491,0.15,0.07,12.67
33,1,5.1679565289949,0.24,0.16,12.67
