,v_pu,v_angle_deg,p_mw,q_mvar
0,1.05,0.0,0.0,0.0
1,1.0472113522586606,0.10041709465515507,-0.2,-0.12
2,1.0386173510958732,0.6690935079229473,-0.18,-0.08
3,1.0340958483916873,0.7034044889883958,-0.24,-0.06
4,1.03,0.7475313006229557,0.36,-0.06
5,0.9999999999999999,1.8145540563566696,-0.2,-0.1
6,1.0300000000000002,1.1868269152501263,-0.2,-0.1
7,0.99851825450055,4.638172286655032,-0.12,-0.07
8,0.9972899835729865,4.586878286131449,-0.06,-0.02
9,0.9971208111852222,4.56602530871002,-0.4,-0.2
10,0.9990504230501486,4.582652044831718,-0.26,-0.11
11,1.0451288560319483,0.05022599423394589,-0.18,-0.08
12,1.028559176542607,-0.3318066630167882,-0.18,-0.08
13,1.035725552822432,1.176583483436886,-0.18,-0.1
14,1.03,2.2334240581802294,0.38,-0.06
15,1.0237366010895554,3.128927661465295,-0.3,-0.1
16,1.0199999999999998,3.695250910201047,0.41000000000000003,-0.04
17,1.0166555182958503,4.016692596680949,-0.1,-0.06
18,1.0058515386930764,4.6375079429263595,-0.17,-0.05
19,1.0033877331102468,4.868922248586244,-0.15,-0.07
20,1.0,5.167968245492522,-0.24,-0.16
